Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Whitby parkrun,Canada,2017-04-01,2025-04-05,8
Whiteley parkrun,United Kingdom,2017-04-01,2025-04-05,8
Woodlands parkrun,South Africa,2013-04-06,2025-04-05,12
Birdsland Reserve parkrun,Australia,2019-04-13,2025-04-12,6
Ceres parkrun,South Africa,2018-04-14,2025-04-12,7
Chaffey Park parkrun,Australia,2022-04-09,2025-04-12,3
Chippenham parkrun,United Kingdom,2014-04-12,2025-04-12,11
Church Mead parkrun,United Kingdom,2022-04-09,2025-04-12,3
Dulwich parkrun,United Kingdom,2012-04-14,2025-04-12,13
Enniskillen parkrun,United Kingdom,2013-04-13,2025-04-12,12
Fareham parkrun,United Kingdom,2016-04-09,2025-04-12,9
Fingal Bay parkrun,Australia,2013-04-13,2025-04-12,12
George Town parkrun,Australia,2017-04-08,2025-04-12,8
Graves parkrun,United Kingdom,2012-04-14,2025-04-12,13
Great Dunmow parkrun,United Kingdom,2018-04-14,2025-04-12,7
Guernsey parkrun,United Kingdom,2016-04-09,2025-04-12,9
Heartlands parkrun,United Kingdom,2018-04-14,2025-04-12,7
Huntingdon parkrun,United Kingdom,2013-04-13,2025-04-12,12
Kambaku Golf Club parkrun,South Africa,2024-04-13,2025-04-12,1
Kei Mouth parkrun,South Africa,2019-04-13,2025-04-12,6
Littlehampton Prom parkrun,United Kingdom,2019-04-13,2025-04-12,6
Lullingstone parkrun,United Kingdom,2015-04-11,2025-04-12,10
Maidstone River Park parkrun,United Kingdom,2013-04-13,2025-04-12,12
Montalto Estate parkrun,United Kingdom,2024-04-13,2025-04-12,1
Morecambe Prom parkrun,United Kingdom,2019-04-13,2025-04-12,6
Myponga Reservoir parkrun,Australia,2022-04-09,2025-04-12,3
North Bay parkrun,Canada,2018-04-14,2025-04-12,7
Örebro parkrun,Sweden,2017-04-08,2025-04-12,8
Paarl parkrun,South Africa,2016-04-09,2025-04-12,9
parkrun Warszawa-Żoliborz,Poland,2014-04-12,2025-04-12,11
Penistone parkrun,United Kingdom,2019-04-13,2025-04-12,6
Peter Pan parkrun,United Kingdom,2013-04-13,2025-04-12,12
Polokwane parkrun,South Africa,2015-04-11,2025-04-12,10
Pont y Bala parkrun,United Kingdom,2019-04-13,2025-04-12,6
Pymmes parkrun,United Kingdom,2011-04-09,2025-04-12,14
Ridley Place Foreshore parkrun,Australia,2024-04-13,2025-04-12,1
"Royal Canal parkrun, Kilcock",Ireland,2019-04-13,2025-04-12,6
Russell Park parkrun,New Zealand,2022-04-09,2025-04-12,3
Scarborough parkrun,New Zealand,2024-04-13,2025-04-12,1
Strathclyde parkrun,United Kingdom,2010-04-10,2025-04-12,15
Swakopmund parkrun,South Africa,2017-04-08,2025-04-12,8
Thurso parkrun,United Kingdom,2018-04-14,2025-04-12,7
Warragul parkrun,Australia,2015-04-11,2025-04-12,10
Whyalla Foreshore parkrun,Australia,2024-04-13,2025-04-12,1
Wilmslow parkrun,United Kingdom,2015-04-11,2025-04-12,10
Wöhrder See parkrun,Germany,2018-04-14,2025-04-12,7
Abbey Park parkrun,United Kingdom,2023-04-15,2025-04-19,2
Aliwal North Golf Club parkrun,South Africa,2023-04-15,2025-04-19,2
Bicester parkrun,United Kingdom,2016-04-16,2025-04-19,9
Bishan parkrun,Singapore,2018-04-21,2025-04-19,7
Blyth Links parkrun,United Kingdom,2019-04-20,2025-04-19,6
Brakpan parkrun,South Africa,2018-04-21,2025-04-19,7
Bramhall parkrun,United Kingdom,2008-04-19,2025-04-19,17
Castlerea parkrun,Ireland,2017-04-15,2025-04-19,8
Conkers parkrun,United Kingdom,2011-04-16,2025-04-19,14
Cornerstone Lakes parkrun,United States,2023-04-15,2025-04-19,2
Cottesloe parkrun,Australia,2015-04-18,2025-04-19,10
De Potten parkrun,Netherlands,2023-04-15,2025-04-19,2
Donauradweg parkrun,Austria,2022-04-16,2025-04-19,3
Esperance Foreshore parkrun,Australia,2024-04-20,2025-04-19,1
Foro Italico parkrun,Italy,2018-04-21,2025-04-19,7
Hastings parkrun,United Kingdom,2015-04-18,2025-04-19,10
Hoërskool Ben Viljoen parkrun,South Africa,2023-04-15,2025-04-19,2
"Jubilee parkrun, Tenterfield",Australia,2024-04-20,2025-04-19,1
Kirkwall parkrun,United Kingdom,2018-04-21,2025-04-19,7
Lalor parkrun,Australia,2016-04-16,2025-04-19,9
"Lister Park parkrun, Bradford",United Kingdom,2010-04-17,2025-04-19,15
Luton Wardown parkrun,United Kingdom,2015-04-18,2025-04-19,10
Mackay parkrun,Australia,2016-04-16,2025-04-19,9
Moana parkrun,Australia,2018-04-21,2025-04-19,7
Moana Point Reserve parkrun,New Zealand,2024-04-20,2025-04-19,1
New Earswick parkrun,United Kingdom,2018-04-21,2025-04-19,7
Oudtshoorn parkrun,South Africa,2015-04-18,2025-04-19,10
parkrun Tczew,Poland,2016-04-16,2025-04-19,9
"Portobello parkrun, Edinburgh",United Kingdom,2015-04-18,2025-04-19,10
"Preston Park parkrun, Brighton",United Kingdom,2013-04-20,2025-04-19,12
Rotherham parkrun,United Kingdom,2013-04-20,2025-04-19,12
Ruchill parkrun,United Kingdom,2017-04-15,2025-04-19,8
Sale parkrun,Australia,2015-04-18,2025-04-19,10
Sasolburg Stadium parkrun,South Africa,2022-04-16,2025-04-19,3
Sippo Lake parkrun,United States,2019-04-20,2025-04-19,6
South Shields parkrun,United Kingdom,2013-04-20,2025-04-19,12
St Andrews parkrun,United Kingdom,2012-04-21,2025-04-19,13
Stavanger parkrun,Norway,2018-04-21,2025-04-19,7
Tyne Green parkrun,United Kingdom,2019-04-20,2025-04-19,6
Wakehurst parkrun,United Kingdom,2024-04-20,2025-04-19,1
Walton parkrun,United Kingdom,2019-04-20,2025-04-19,6
Wanneroo parkrun,Australia,2018-04-21,2025-04-19,7
Whalan Reserve parkrun,Australia,2021-04-17,2025-04-19,4
Wynyard Woodland parkrun,United Kingdom,2023-04-15,2025-04-19,2
Amager Strandpark parkrun,Denmark,2012-04-28,2025-04-26,13
Aplins Weir parkrun,Australia,2018-04-28,2025-04-26,7
Ararat parkrun,Australia,2017-04-22,2025-04-26,8
Ashton Court parkrun,United Kingdom,2011-04-23,2025-04-26,14
Avondale Forest parkrun,Ireland,2018-04-28,2025-04-26,7
Bellerive parkrun,Australia,2018-04-28,2025-04-26,7
Caledon Golf Course parkrun,South Africa,2023-04-22,2025-04-26,2
Catford parkrun,United Kingdom,2018-04-28,2025-04-26,7
Chadderton Hall parkrun,United Kingdom,2016-04-23,2025-04-26,9
Clare Valley parkrun,Australia,2016-04-23,2025-04-26,9
Clermont Waterfront parkrun,United States,2013-04-27,2025-04-26,12
"Cycle Route 43 parkrun, Ystalyfera",United Kingdom,2024-04-27,2025-04-26,1
Eagan parkrun,United States,2017-04-22,2025-04-26,8
Edenbrook Country parkrun,United Kingdom,2022-04-23,2025-04-26,3
Emerald parkrun,Australia,2017-04-29,2025-04-26,8
Forest of Dean parkrun,United Kingdom,2010-04-24,2025-04-26,15
Gilloolys parkrun,South Africa,2016-04-23,2025-04-26,9
Ginninderra parkrun,Australia,2012-04-28,2025-04-26,13
Glass House Mountains Conservation parkrun,Australia,2019-04-27,2025-04-26,6
Goolwa parkrun,Australia,2018-04-28,2025-04-26,7
Gorleston Cliffs parkrun,United Kingdom,2009-04-25,2025-04-26,16
"Grand Ridge Rail Trail parkrun, Mirboo North",Australia,2019-04-27,2025-04-26,6
Hamlet Park parkrun,United States,2022-04-30,2025-04-26,3
Hartlepool parkrun,United Kingdom,2014-04-26,2025-04-26,11
Havelkanal parkrun,Germany,2023-04-22,2025-04-26,2
Jeune Park parkrun,Australia,2024-04-27,2025-04-26,1
Joe Creason parkrun,United States,2018-04-28,2025-04-26,7
Killerton parkrun,United Kingdom,2011-04-30,2025-04-26,14
Kingdom parkrun,United Kingdom,2019-04-27,2025-04-26,6
